ts_wall_s,ts_mono_s,dt_s,backend,nic,rx_bytes_d,tx_bytes_d,rx_Mbps,tx_Mbps,rx_pkts_d,tx_pkts_d,dropin_d,dropout_d,errin_d,errout_d
1769189070.5050297,1020229.788663344,1.0015681949444115,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189071.5065703,1020230.790202164,1.0015388199826702,psutil,enp0s31f6,5072,19084,0.040513656775382996,0.15243742624239137,36,37,0,0,0,0
1769189071.5065703,1020230.790202164,1.0015388199826702,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189072.5073977,1020231.791029367,1.00082720303908,psutil,enp0s31f6,5844,19350,0.04671335856782706,0.15467205480620358,45,34,0,0,0,0
1769189072.5073977,1020231.791029367,1.00082720303908,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189073.5089548,1020232.792588227,1.0015588599490002,psutil,enp0s31f6,11386,24871,0.09094622756833107,0.19865831950219234,48,46,0,0,0,0
1769189073.5089548,1020232.792588227,1.0015588599490002,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189074.5104785,1020233.794111989,1.001523762010038,psutil,enp0s31f6,7246,20514,0.05787980495206564,0.16386231283282837,34,35,0,0,0,0
1769189074.5104785,1020233.794111989,1.001523762010038,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189075.512031,1020234.795664371,1.0015523820184171,psutil,enp0s31f6,5410,20862,0.043212917044616585,0.16663731522824238,39,38,0,0,0,0
