ts_wall_s,ts_mono_s,dt_s,cpu_logical,cpu_physical,cpu_freq_cur_mhz_mean,cpu_freq_cur_mhz_max,cpu_total_percent,cpu_mean_core_percent,cpu_max_core_percent,cpu_core_count_sampled,loadavg_1,loadavg_5,loadavg_15,procs_running,procs_blocked,ctx_switches_d,interrupts_d,soft_interrupts_d,syscalls_d,cg_nr_periods,cg_nr_throttled,cg_throttled_usec,cg_nr_throttled_d,cg_throttled_usec_d,pct_user,pct_system,pct_idle,pct_iowait,pct_irq,pct_softirq,pct_steal,pct_guest,pct_guest_nice,sec_user_d,sec_system_d,sec_idle_d,sec_iowait_d,sec_irq_d,sec_softirq_d,sec_steal_d,sec_guest_d,sec_guest_nice_d,sec_total_d,proc_cpu_sec_d_sum,proc_cpu_pct_total_sum
1769029692.9859414,860853.270969114,1.001396620995365,12,6,1242.1451666666665,3858.649,2.0,2.0833333333333335,17.0,12,0.00048828125,0.08056640625,0.1279296875,1,0,987,779,527,0,0,0,0,0,0,1.1666666666985495,0.8333333333517758,97.99999999994967,0.0,0.0,0.0,0.0,0.0,0.0,0.1400000000012369,0.1000000000003638,11.759999999776483,0.0,0.0,0.0,0.0,0.0,0.0,11.999999999778083,,
1769029693.9878976,860854.272865509,1.0013369250809774,12,6,1017.1198333333333,3404.022,0.2,0.16666666666666666,1.0,12,0.00048828125,0.08056640625,0.1279296875,1,0,835,451,389,0,0,0,0,0,0,0.08333333331689927,0.08333333333205752,99.83333333335105,0.0,0.0,0.0,0.0,0.0,0.0,0.00999999999839929,0.010000000000218279,11.980000000447035,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000445652,,
1769029694.9897773,860855.274795751,1.0013868459500372,12,6,1222.0429166666665,2550.479,0.5,0.5,2.0,12,0.00048828125,0.08056640625,0.1279296875,1,0,933,541,421,0,0,0,0,0,0,0.24979184015416264,0.24979184014658984,99.50041631969924,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000654836,0.02999999999974534,11.949999999254942,0.0,0.0,0.0,0.0,0.0,0.0,12.009999999255342,,
1769029695.9917204,860856.276725303,1.0013737740227953,12,6,1008.0993333333332,2793.097,0.3,0.25,1.0,12,0.00048828125,0.08056640625,0.1279296875,1,1,1001,486,387,0,0,0,0,0,0,0.1663893510768977,0.1663893510768977,98.91846921801529,0.7487520798309066,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.020000000000436557,11.890000000596046,0.09000000000014552,0.0,0.0,0.0,0.0,0.0,12.020000000597065,,
1769029696.9936354,860857.278657321,1.0013909470289946,12,6,1160.8005,4026.876,0.4,0.3333333333333333,2.0,12,0.0,0.0791015625,0.126953125,1,0,1141,529,433,0,0,0,0,0,0,0.33305578685091713,0.08326394670894287,99.41715237300711,0.16652789343303137,0.0,0.0,0.0,0.0,0.0,0.039999999999054126,0.009999999999308784,11.93999999947846,0.020000000000436557,0.0,0.0,0.0,0.0,0.0,12.009999999477259,,
1769029697.9955778,860858.280632037,1.0014231209643185,12,6,1001.866,1800.665,0.3,0.4166666666666667,2.0,12,0.0,0.0791015625,0.126953125,1,0,891,523,484,0,0,0,0,0,0,0.16666666665787488,0.16666666665787488,99.66666666668425,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.020000000000436557,11.96000000089407,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000894943,,
1769029698.9975424,860859.282381391,1.0012078720610589,12,6,1204.8505833333334,3720.338,0.2,0.25,1.0,12,0.0,0.0791015625,0.126953125,1,0,834,477,383,0,0,0,0,0,0,0.16666666666098234,0.08333333333049117,99.75000000000853,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.010000000000218279,11.970000000670552,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000671207,,
1769029699.9992702,860860.284292678,1.0013914060546085,12,6,1013.0288333333333,2249.256,0.3,0.5,2.0,12,0.0,0.0791015625,0.126953125,1,0,889,524,420,0,0,0,0,0,0,0.16652789344231295,0.16652789343474014,99.66694421312295,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.019999999999527063,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,12.00999999880787,,
1769029701.001179,860861.286215196,1.0014052239712328,12,6,1015.6321666666668,2683.547,0.2,0.16666666666666666,1.0,12,0.0,0.0791015625,0.126953125,1,0,813,431,339,0,0,0,0,0,0,0.08333333333204489,0.08333333333204489,99.8333333333359,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.010000000000218279,11.980000000447035,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000447471,,
1769029702.003104,860862.288125285,1.001390234916471,12,6,1135.26125,2600.473,0.2,0.16666666666666666,1.0,12,0.0,0.07763671875,0.1259765625,1,0,648,289,225,0,0,0,0,0,0,0.1663893510669517,0.08319467554104236,99.75041597339201,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999998617568,0.010000000000218279,11.990000000223517,0.0,0.0,0.0,0.0,0.0,0.0,12.020000000222353,,
