ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769029713.0134654,860872.297098845,1.0011911540059373,/,250375106560,142818717696,94763499520,60.1,0,24576,0,2,0.0,0.024546761027269583,0.0,1.997620526307746,68,,
1769029714.015028,860873.29866112,1.001562274992466,/,250375106560,142818717696,94763499520,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029715.0166128,860874.30024431,1.00158319005277,/,250375106560,142818717696,94763499520,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029716.0180798,860875.30171137,1.0014670599484816,/,250375106560,142818721792,94763495424,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029717.0195239,860876.303155352,1.0014439820079133,/,250375106560,142818721792,94763495424,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029806.955144,860966.238777989,,/,250375106560,142979665920,94602551296,60.2,0,0,0,0,,,,,0,,
1769029807.956527,860967.240158688,1.0013806989882141,/,250375106560,142979665920,94602551296,60.2,2764800,86016,183,2,2.7609879067906227,0.08589740154459714,182.74768046248695,1.997242409426087,28,,
1769029808.9574344,860968.24106597,1.000907281995751,/,250375106560,142979665920,94602551296,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029809.9588628,860969.242494272,1.001428301911801,/,250375106560,142979665920,94602551296,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029810.9602783,860970.243909876,1.0014156040269881,/,250375106560,142979670016,94602547200,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029811.9617934,860971.245426924,1.0015170479891822,/,250375106560,142979670016,94602547200,60.2,28672,106418176,7,1184,0.028628569086833654,106.25697906357503,6.989396749715248,1182.2065359518363,109,,
1769029812.9633646,860972.246996423,1.0015694990288466,/,250375106560,142979670016,94602547200,60.2,0,2535424,0,21,0.0,2.531450890286123,0.0,20.967092169202697,5,,
1769029813.9649231,860973.248556638,1.0015602150233462,/,250375106560,142979674112,94602543104,60.2,0,4096,0,1,0.0,0.004089619314505741,0.0,0.9984422154555033,1,,
1769029814.966469,860974.250103518,1.001546879997477,/,250375106560,142979674112,94602543104,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029815.9680364,860975.251670129,1.0015666109975427,/,250375106560,142979678208,94602539008,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029816.969593,860976.253226628,1.0015564989298582,/,250375106560,142979678208,94602539008,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029817.971133,860977.254766412,1.0015397840179503,/,250375106560,142979686400,94602530816,60.2,4096,142299136,1,1104,0.0040897027410811155,142.08036292789905,0.9984625832717567,1102.3026919320196,153,,
1769029818.9727266,860978.256360026,1.0015936139971018,/,250375106560,142979686400,94602530816,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029819.974275,860979.257908964,1.0015489379875362,/,250375106560,142979686400,94602530816,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029820.9758418,860980.259474813,1.0015658490592614,/,250375106560,142979686400,94602530816,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029821.9773982,860981.26103005,1.0015552369877696,/,250375106560,142979694592,94602522624,60.2,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029822.9789336,860982.262567187,1.0015371369663626,/,250375106560,142979694592,94602522624,60.2,0,143360,0,3,0.0,0.14313997425420966,0.0,2.995395666591999,72,,
